Country,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling
Nigeria,Developing,55,388,542,9.55,104.4746444,42,2613,2.4,863,54,4.47,42,5.2,1136.829645,14641724,0.477,9.1
Canada,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544.43376,35544564,0.912,15.9
El Salvador,Developing,71.7,194,2,2.68,53.95949877,98,0,51.4,3,98,6.21,98,0.3,357.347674,61131,0.659,13.4
Bosnia and Herzegovina,Developing,76.1,97,0,4.75,645.021302,9,22,52.6,0,9,9.64,9,0.1,4697.89732,3746561,0.716,13.3
Democratic People's Republic of Korea,Developing,76,139,6,,0,96,0,32.9,7,99,,96,0.1,,,,
Spain,Developed,82.6,58,1,0.01,42.98847625,96,154,66,1,97,9.3,97,0.1,296.47225,4648882,0.877,17.6
Burundi,Developing,55.3,35,23,4.33,15.99415192,92,173,15.2,35,89,7.86,92,2.9,196.2472628,8212264,0.319,7.9
Eritrea,Developing,61.4,311,6,0.63,1.575160196,92,82,15.5,9,92,3.3,92,1,43.7544499,431334,0.402,5.2
Libya,Developing,71.9,138,2,0.01,472.3047034,97,292,56,3,98,2.71,98,0.1,8171.361651,,0.748,15.7
Jamaica,Developing,75,138,1,3.55,396.6270975,94,0,5.5,1,94,5.3,94,0.5,4682.728424,281721,0.721,12.7
Russian Federation,Developing,67.3,282,16,12.19,11.02617159,98,173,56.1,19,98,5.38,98,0.3,911.25385,1428588,0.761,13.8
Uzbekistan,Developing,68,183,21,2.56,92.81479759,98,0,4,24,99,6.31,98,0.2,1213.265328,277674,0.651,11.8
Bahamas,Developing,73.1,19,0,10.85,0,89,0,56,0,93,5.26,94,0.1,,,0.781,12.1
Algeria,Developing,73.8,129,20,0.44,320.3239241,9,0,5.8,23,95,3.82,95,0.1,3935.183343,34376,0.69,12.3
Comoros,Developing,63,262,2,0.25,77.0283958,69,85,19.6,2,69,4.57,69,0.1,648.38717,626425,0.451,9.9
Turkmenistan,Developing,63.7,245,6,2.71,29.27235366,98,48,41.3,8,98,2.9,98,0.1,2136.66815,48115,0,10.4
Mozambique,Developing,57.6,355,60,,0,8,79,22.6,81,8,,8,3.9,528.3125597,281691,0.414,9.1
Central African Republic,Developing,47.6,477,17,1.52,67.34137528,,12,19.4,25,46,4.3,45,8.3,456.8614334,4345386,0.338,6.3
Venezuela (Bolivarian Republic of),Developing,73.6,163,9,8.27,0,71,78,57.1,11,73,4.85,71,0.1,,,0.714,12.4
Somalia,Developing,51.2,341,49,0.01,0,,12008,19.4,80,3,,3,0.9,,,,
Serbia,Developing,74.4,128,1,9.65,774.4396617,89,20,57,1,91,1.9,91,0.1,5411.87744,7291436,0.755,13.6
Belarus,Developing,68.1,252,1,11.01,45.65007798,99,1,56.7,1,98,6.89,99,0.1,3126.71767,9663915,0.713,14.4
Ireland,Developed,79,78,0,13.44,9126.931178,,87,55.8,0,91,7.22,91,0.1,54326.9713,4273591,0.896,17.6
Suriname,Developing,76,187,0,5.64,989.1263558,86,0,55.5,0,86,5.93,86,0.1,8318.97692,531589,0.704,12.5
Sweden,Developed,79.8,73,0,6.6,3554.546434,,5,53.4,0,99,8.86,99,0.1,26969.24457,889596,0.877,15.9
Guyana,Developing,65.1,237,1,7.84,1.776181042,91,0,38.4,1,91,5.73,91,1.9,145.58861,751652,0.613,11.2
Bosnia and Herzegovina,Developing,75.4,11,0,3.84,151.1399301,,28,48.8,0,86,7.1,8,0.1,1761.537647,377587,0,11.9
Burundi,Developing,56.8,33,23,4.16,31.14187566,96,495,16.1,34,94,8.82,96,1.9,231.1943256,876693,0.361,9.3
Uruguay,Developing,75.4,124,1,6.67,14.47305874,94,0,59.5,1,94,8.23,94,0.1,79.69746,3339741,0.76,15.3
Finland,Developing,77.5,15,0,8.59,397.7533689,,0,55.5,0,96,7.22,99,0.1,24253.2542,517629,0.847,17.3
Somalia,Developing,53.1,329,51,0.01,0,,17298,22.4,82,49,,41,0.8,,,,
Brazil,Developing,71.8,172,88,6.95,15.85781237,97,2,46.1,100,99,6.94,99,0.1,359.587582,182482149,0.699,14.8
Japan,Developed,82,69,3,7.99,6799.664423,,0,24.4,4,95,8.18,98,0.1,37217.64873,127773,0.87,14.9
Mali,Developing,52.8,296,58,0.49,57.11644801,73,172,17.5,103,7,6.28,69,2,439.3572924,1239196,0.333,5.5
Solomon Islands,Developing,66.8,215,0,1.18,16.83170578,79,0,4.4,0,84,6,84,0.1,744.7657423,446769,0.453,8
Democratic Republic of the Congo,Developing,55,36,235,1.53,0,,80123,17.3,327,62,3.39,62,2,,,,
Myanmar,Developing,66.2,22,42,0.7,38.33793462,75,1010,22.1,55,76,2.16,75,0.4,1168.83947,51448196,0.54,9.1
Saudi Arabia,Developing,72.6,11,10,0.05,782.1799815,93,0,56.2,12,95,4.24,95,0.1,9126.954277,,0.737,11.8
Senegal,Developing,61.3,236,23,0.34,10.43022617,89,3,19.9,38,89,5.44,89,0.7,89.838296,11556763,0.422,6.6
Equatorial Guinea,Developing,56.2,344,3,10.99,1493.051277,,0,22.6,4,39,3.29,41,7.7,21451.88617,99429,0.58,9.2
Guyana,Developing,66.2,215,0,,0,95,0,46.7,1,92,,95,0.3,4136.689919,768514,0.638,10.3
Chad,Developing,51.6,365,46,0.56,67.76269089,33,8650,17.5,79,4,3.17,33,3.9,989.2363633,12288651,0.37,6.7
Belarus,Developing,72.3,196,0,,0,99,2,62.3,0,99,,99,0.1,5949.11677,9489616,0.798,15.6
Democratic People's Republic of Korea,Developing,65.4,192,18,3.52,0,,0,25.2,25,93,,56,0.1,,,,
Switzerland,Developed,82.1,6,0,10.15,14714.82588,,958,55,0,96,11,95,0.1,69672.471,7743831,0.916,15.3
Colombia,Developing,73.5,146,14,4.45,978.07041,92,0,52.8,16,92,6.62,92,0.1,5433.7245,4491544,0.683,12.2
Albania,Developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,0.696,11.4
Armenia,Developing,73,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643.758397,2981259,0.679,10.9
Belgium,Developed,77.6,11,1,11.21,287.2084529,6,0,58.1,1,96,8.12,95,0.1,2327.4591,125125,0.869,18
United Arab Emirates,Developing,75.4,89,1,1.74,3749.941617,92,0,55.8,1,94,2.33,92,0.1,42372.22166,,0.823,12.8
Canada,Developing,81,72,2,8.4,864.94993,42,14,63.6,2,89,11.17,91,0.1,4773.45436,33628571,0.898,15.9
Comoros,Developing,61,255,2,0.12,93.36788979,81,0,2.6,2,81,5.13,81,0.1,795.97519,657229,0.461,10.2
Czechia,Developed,77.8,97,0,12.43,0,99,17,64,0,99,7.5,99,0.1,,,,
El Salvador,Developing,73,181,2,2.48,591.7757569,92,0,54.1,2,93,6.7,92,0.3,3827.786267,6221246,0.67,13.2
Sri Lanka,Developing,74.5,143,3,2.8,20.76877311,99,51,21.2,4,99,3.21,99,0.1,335.521375,2425,0.752,13.7
Czechia,Developed,78.6,88,0,12.68,0,99,222,65.6,0,99,7.41,97,0.1,,,,
Indonesia,Developing,66.3,188,187,0.06,3.43334364,65,3344,15.4,237,72,1.98,75,0.1,78.92744,21154429,0.597,10.7
Lesotho,Developing,52.2,513,4,0.01,168.1348992,95,179,3.8,6,93,11.14,95,9,1281.516,289928,0.479,11
Ireland,Developed,78,82,0,13.24,675.2134725,,584,53.6,0,86,7.5,86,0.1,4117.15532,3996521,0.87,16.8
Benin,Developing,56.1,285,25,1.15,10.73628066,75,262,2.1,39,74,4.56,72,2.1,583.493514,7754,0.423,8.1
Mozambique,Developing,54.3,47,66,0.94,40.80617976,76,177,2.9,94,73,6.23,76,9.6,526.5313517,249395,0.397,9.5
Kenya,Developing,51.9,434,77,1.63,3.847602867,,11304,14.7,120,77,4.62,8,16.9,41.7763612,32321482,0.447,8.4
Vanuatu,Developing,69.3,176,0,1.24,171.1373611,66,101,42.6,0,67,3.52,7,0.1,1353.934819,193956,0,10.2
Pakistan,Developing,64.2,179,365,0.03,40.36829999,78,7641,19.5,458,77,3.4,78,0.1,873.772727,15793993,0.501,6.5
Russian Federation,Developing,68.2,261,15,11.21,137.0063357,98,101,57,18,98,7.44,98,0.3,8562.89598,142785342,0.776,14
Malawi,Developing,45.1,615,40,1.11,58.13583343,89,1116,15.5,65,94,7.82,89,23.4,274.2256294,1267638,0.366,10
Chad,Developing,48,4,42,0.3,26.87439074,,24908,14.1,75,26,6.9,26,4.8,197.3156442,866312,0.3,4.9
Fiji,Developing,69.2,197,0,0.01,401.7931045,99,0,59.5,0,99,4.6,99,0.1,4353.121392,86786,0.709,14.7
Democratic Republic of the Congo,Developing,55.7,299,236,1.52,0,7,55577,17.8,326,72,3.61,7,1.9,,,,
Maldives,Developing,75.9,81,0,1.76,1077.712092,98,0,2.3,0,98,9.3,98,0.1,5828.621374,362,0.641,11.8
Sudan,Developing,63.5,232,60,0.01,227.8353208,93,2813,,88,93,8.42,93,0.3,1955.66799,36849918,0.478,7
Belgium,Developed,78,1,1,11.01,2943.375396,6,83,58.5,1,96,8.29,95,0.1,23121.56635,128657,0.873,18.2
Israel,Developing,81.5,63,1,2.55,508.6645438,98,5,62.6,1,96,7.46,96,0.1,27795.87671,74856,0.876,15.6
Sierra Leone,Developing,48.1,424,27,3.84,5.347717533,86,1089,21.7,40,84,1.32,86,1.6,45.128418,645872,0.384,8.7
Cuba,Developing,78.1,14,1,4.13,750.7147641,93,0,55.4,1,99,1.42,93,0.1,5184.494227,,0.754,16
Lebanon,Developing,74.9,98,1,,0,81,39,66.1,1,75,,81,0.1,846.632851,5851479,0.763,13.3
Ghana,Developing,58.3,34,41,1.46,53.23775977,8,60,21.8,62,81,3.96,8,3.2,423.1936389,2986536,0.491,7.7
Malaysia,Developing,73.6,134,3,0.42,365.9113978,95,564,31.6,4,95,3.65,95,0.1,6222.982955,26143566,0.732,12.7
Dominican Republic,Developing,73.1,16,6,5.91,843.7876995,8,2,54.7,7,84,4.22,84,0.7,5759.643,12795,0.703,13
Gabon,Developing,61,296,2,8.87,218.1727473,,15,28.1,3,44,2.89,45,9.5,4116.46693,1231122,0.637,12.2
Liberia,Developing,56,371,13,4.27,10.424369,,131,2.7,19,51,5.43,39,3.1,177.285187,362863,0.376,10.4
Trinidad and Tobago,Developing,71.1,171,0,6.94,1578.872339,92,0,46,0,94,5.93,92,0.3,19325.24283,1354493,0.778,12.7
Tonga,Developing,73.2,137,0,0.01,584.9449886,82,0,74.3,0,84,4.98,82,0.1,4266.557174,15328,0.718,14.3
Syrian Arab Republic,Developing,72.8,135,9,1.25,91.70356833,8,538,45.3,11,86,4.94,84,0.1,1263.13455,178791,0.596,10.2
Samoa,Developing,72,153,0,3.52,40.22855669,35,0,7.3,0,37,4.68,39,0.1,287.963899,18194,0.677,12.7
Cabo Verde,Developing,77,148,0,3.82,155.2072669,4,0,22.6,0,92,5.17,91,0.8,1373.515636,45216,0.569,11.3
Ecuador,Developing,74.6,139,7,3.76,197.9303077,93,1,49.3,9,94,5.66,96,0.1,4274.95265,14447562,0.698,13
Sao Tome and Principe,Developing,63.4,225,0,6.54,86.42744056,43,0,22.2,0,94,11.12,94,1.6,649.342153,148372,0.504,9.7
France,Developing,79.3,99,3,13.49,4572.441963,28,0,56.4,4,96,1.43,97,0.1,29691.18158,62244884,0.852,15.4
Mexico,Developing,75,127,46,4.88,781.2062828,98,44,54.9,55,98,6.2,98,0.1,6751.998987,1564453,0.708,11.9
India,Developing,62.9,222,1800,1,19.00340606,,51780,11.8,2400,58,4.5,59,0.3,447.138966,171477855,0.494,8.3
Azerbaijan,Developing,66.6,16,9,0.65,35.09462644,,210,42.1,11,75,4.67,76,0.1,655.974326,8486,0.636,10.1
Iceland,Developed,82.5,49,0,7.45,8254.020763,,0,6.6,0,9,8.86,9,0.1,52473.11356,327386,0.915,19
Germany,Developed,86,71,2,11.18,839.91332,88,166,6.9,3,94,1.99,95,0.1,4465.24891,8425823,0.916,16.9
Liberia,Developing,55.3,316,12,4.19,22.39648813,,8,22,16,66,8.4,6,3.1,168.648254,326123,0.372,10.1
Georgia,Developing,74.2,13,1,7.71,158.2576025,92,31,53.6,1,93,8.57,92,0.1,4142.869175,3825,0.749,13.4
Uzbekistan,Developing,67.8,183,24,1.59,34.41887163,99,75,37,29,99,5.11,99,0.3,465.1198869,2586435,0.613,11.6
Sao Tome and Principe,Developing,62.8,225,0,5.02,3.841228575,,0,21.1,0,9,1.28,92,1.5,51.216381,141622,0.497,9.4
Ethiopia,Developing,59.8,289,177,1.13,38.55783268,52,3511,14.9,270,63,4.28,54,2.4,325.3825543,83184892,0.378,7.6
Singapore,Developed,82.9,56,0,1.83,7971.646361,96,0,32.9,0,96,4.92,96,0.1,56336.7234,,0.922,15.4
Republic of Moldova,Developing,68,225,1,12.27,0,99,4,47.9,1,98,8.49,98,0.1,,,,
Monaco,Developing,,,0,0.01,0,99,0,,0,99,4.3,99,0.1,,,,
Albania,Developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487,0.685,10.8
Comoros,Developing,59.5,272,1,0.08,19.71741043,,0,17.6,2,7,2.86,7,0.1,395.9319363,555888,0,8.5
Burkina Faso,Developing,53.3,313,48,4.88,8.769989329,,253,14.2,89,94,6.87,82,2.3,46.998871,1342193,0,4.3
Samoa,Developing,75,175,0,3.43,199.4118322,89,0,66.5,0,83,5.16,85,0.1,1555.47451,175566,0.645,12
Viet Nam,Developing,74.2,136,29,2.86,0,94,217,1.9,36,96,5.9,96,0.2,,,0.601,11
Lesotho,Developing,52.1,522,4,0.01,162.1278115,93,0,32,6,9,1.62,93,9.4,1174.839214,2145785,0.491,10.8
Yemen,Developing,64.6,234,35,0.04,0,69,2676,37.9,45,69,5.4,69,0.1,,,0.493,8.6
Croatia,Developed,75.9,113,0,11.83,1555.651986,,1,58.1,0,96,6.95,96,0.1,11363.41845,444,0.783,13.9
Canada,Developing,85,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,44544.5268,32887928,0.894,15.8
Papua New Guinea,Developing,61.4,29,11,0.81,103.7277727,59,0,43.4,14,76,4.6,63,1.3,1178.72469,6787187,0.469,8.9
Panama,Developing,76.2,125,1,5.72,631.1251711,88,0,51.1,2,98,7,88,0.1,5348.518399,339195,0.744,12.9
Afghanistan,Developing,58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,0.448,9.2
Kiribati,Developing,64.7,215,0,0.5,1.76541345,73,0,7.6,0,79,9.98,7,0.1,115.3865,88895,0,11.6
Samoa,Developing,76,174,0,3.3,208.1688437,86,0,67.4,0,85,5.1,86,0.1,1631.41727,176582,0.653,12.1
Gabon,Developing,61.4,288,2,8.01,40.53719812,52,90,31.4,3,44,2.88,45,10.7,727.777345,1444844,0.646,12.4
Romania,Developed,73.1,158,2,10.4,14.96373588,95,8,56.3,3,95,5.56,95,0.1,822.18329,2367487,0.795,15.4
Singapore,Developed,79.3,73,0,1.43,2263.068326,95,33,29.6,0,96,3.63,96,0.1,23573.6284,,0.819,12.7
Belize,Developing,69.5,186,0,6.76,569.9527122,96,0,47,0,96,5.85,96,0.2,4344.15177,32168,0.7,12.4
Saint Vincent and the Grenadines,Developing,72.7,161,0,7.07,0,97,0,52.2,0,97,5.21,97,0.1,,,0.717,13.3
Bahrain,Developing,76.9,69,0,,0,98,0,63.6,0,98,,98,0.1,22688.87824,,0.823,14.5
Bahrain,Developing,75.3,81,0,2.05,1553.468944,98,4,56.1,0,98,3.16,98,0.1,17959.17854,,0.806,14
Brunei Darussalam,Developing,78.3,79,0,0.01,3192.634413,99,1,38.2,0,99,2.3,99,0.1,47651.2599,,0.852,14.4
Cambodia,Developing,57.7,274,27,1.51,0.328418056,,12237,12.1,36,62,5.87,59,2.1,3.685949,12152354,0.401,7.2
Australia,Developed,83,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,23465.38559,198954,0.905,20.6
Ethiopia,Developing,55,354,217,0.86,1.506962482,,73,13.5,342,54,4.23,4,4.1,135.7623858,7462445,0.31,5.4
Pakistan,Developing,66.2,162,359,0.01,62.29361092,72,1370,24.7,442,72,2.61,72,0.1,1316.98966,185546257,0.542,7.8
Romania,Developed,75,133,2,,0,9,4,6.7,2,89,,89,0.1,8958.788593,19815481,0.798,14.7
Algeria,Developing,72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,31.122378,33288437,0.68,12
Eritrea,Developing,64.7,255,5,,0,95,198,18.6,7,95,,95,0.4,,,0.418,5
Canada,Developing,81.8,67,2,8.2,9733.228019,55,83,65.8,2,91,1.67,91,0.1,52413.72116,35155451,0.909,15.9
Tunisia,Developing,74.9,13,3,1.29,594.6453102,98,16,59.3,3,98,7.26,98,0.1,4199.47253,1114558,0.72,14.7
Belize,Developing,69.4,184,0,6.48,387.3324928,98,0,44.4,0,98,4.4,98,0.6,4187.3783,29747,0.692,12.3
Egypt,Developing,69.9,174,54,0.21,0,97,608,56.2,64,97,5.1,97,0.1,,,0.659,12
Madagascar,Developing,59.3,271,41,0.9,47.5262138,51,10795,14.7,63,61,5.29,62,0.7,262.2859481,16765117,0.462,8.3
Hungary,Developed,75.5,139,0,10.88,155.1952076,,1,63.6,1,99,7.53,99,0.1,13613.6147,989382,0.824,15.4
Latvia,Developed,78,221,0,12.12,170.9884138,91,0,57.7,0,94,7.1,94,0.1,1444.1589,22325,0.814,16.2
Denmark,Developed,84,73,0,9.64,10468.76292,,27,58.4,0,94,1.8,94,0.1,62425.5392,5643475,0.926,19.2
Papua New Guinea,Developing,58.9,335,11,0.73,62.56273841,57,7135,37.5,14,51,3.98,59,1.1,631.9468526,5572222,0.418,6.2
Swaziland,Developing,57.6,393,2,0.01,708.9556648,98,0,31.2,3,98,9.66,98,9.8,3598.75972,1271456,0.539,11.4
Togo,Developing,54.9,355,15,1.01,3.989928468,,61,18.4,22,71,5.6,71,5.1,349.9937253,5534598,0.432,10
Lithuania,Developed,78,222,0,12.3,913.699529,95,1,58.4,0,93,5.83,94,0.1,7863.1629,3322528,0.798,16.2
Haiti,Developing,62.3,259,15,5.68,4.106484317,,0,45.3,20,67,1.41,68,1.5,74.9358452,114554,0.47,8.7
Guyana,Developing,65.4,246,1,6.63,16.75480888,,0,35.7,1,79,5.85,88,1.1,946.599372,75331,0.602,10.9
Djibouti,Developing,58.1,326,2,1.18,106.0354659,,71,29.8,2,64,6.76,64,4,864.184726,77752,0.388,3.7
Chile,Developing,77.3,16,2,6.1,687.5116825,,0,54.7,3,96,6.51,97,0.1,4595.666327,15444969,0.761,13.7
Cabo Verde,Developing,72.7,121,0,0.01,33.55888998,94,0,29,0,94,4.61,94,0.3,348.482762,513979,0.636,13.2
Morocco,Developing,69.5,15,25,0.46,66.72933871,92,6000,46.5,29,94,5.31,94,0.1,1413.757176,29512368,0.54,8.8
Syrian Arab Republic,Developing,71.7,163,7,0.76,0,66,13,53.2,8,6,3.23,72,0.1,,2863993,0.646,12
Philippines,Developing,68.1,217,56,5.02,212.7418488,88,1536,23.7,71,88,4.46,88,0.1,2581.818554,96866642,0.666,11.6
Namibia,Developing,61.7,317,3,6.28,59.55033546,,0,3.2,4,83,7.15,83,11.7,429.6561,216375,0.589,11.3
Saint Vincent and the Grenadines,Developing,79,186,0,4.94,0,,0,42,0,99,3.93,99,0.4,,,0.677,12.9
Cameroon,Developing,56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,1441.1417,2223994,0.507,10.4
Albania,Developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519,0.721,12.2
Nicaragua,Developing,73,192,4,3.61,15.25518816,83,0,42.8,5,85,5.39,83,0.4,116.2743,526796,0.562,10.1
Malta,Developed,77.5,8,0,5.59,134.3547253,,2,62.3,0,94,6.83,94,0.1,1139.5651,3987,0.779,13.8
Niger,Developing,57.1,263,51,0.11,5.665405066,71,801,16.9,99,71,6.98,71,1.1,341.2894618,15813913,0.307,4.2
Timor-Leste,Developing,67.7,158,2,0.01,3.379874844,82,4,16.6,2,82,1.29,82,0.1,117.765674,1184366,0.62,12.5
India,Developing,68.3,181,910,,0,87,90387,18.7,1100,86,,87,0.2,1613.18878,1395398,0.615,11.6
Thailand,Developing,71.2,194,17,5.92,176.0625201,95,7319,19.4,20,97,3.32,96,0.8,1893.145377,63543322,0.649,11.2
Dominican Republic,Developing,71.4,189,7,6.43,4.67359227,63,0,45.1,8,74,5.79,82,2.4,38.46578,8832285,0.66,12.3
Iceland,Developed,81,62,0,7.05,10631.20379,,0,56.9,0,95,9.21,95,0.1,56249.7555,296734,0.879,17.9
Mali,Developing,51.2,31,60,0.53,3.67646576,,717,16.5,108,65,6.32,61,2.3,334.22416,11638929,0.308,4.9
Djibouti,Developing,61.3,273,1,0.44,187.4960097,88,7,32.2,2,88,8.84,88,3.1,1325.99724,851146,0.441,5.5
Canada,Developing,85,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,4386.69948,325755,0.891,15.8
Congo,Developing,53.2,417,9,2.45,0,,3712,2.7,14,5,2.61,5,6.8,,,0.492,9.4
Grenada,Developing,73,187,0,8.43,100.965873,83,0,39.9,0,84,5.24,83,0.1,5836.17763,,0,14.8
Botswana,Developing,63.4,3,2,0.01,12.83447357,95,7,36.2,3,96,6.27,95,4.4,729.231453,289315,0.687,12.5
Japan,Developed,81.9,7,3,7.83,578.7254273,,8286,23.4,5,97,8,97,0.1,3488.3992,127718,0.863,14.8
Belarus,Developing,72,232,0,17.31,846.9113071,98,50,59.9,1,98,4.92,98,0.1,6519.71753,9473172,0.787,15.5
Costa Rica,Developing,79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1647.44179,4757575,0.768,13.9
Kuwait,Developing,73.2,96,0,0.01,959.925862,95,6,64,1,94,2.51,98,0.1,18389.38433,,0.786,14.1
Republic of Moldova,Developing,77,177,1,9.45,0,96,0,5.9,1,96,1.61,93,0.1,,,,
Bhutan,Developing,69.1,219,0,0.01,19.79057439,97,0,22.7,1,97,3.83,97,0.6,235.882889,764961,0.589,12.6
Cyprus,Developed,83,53,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,2734.88382,115239,0.85,14
Thailand,Developing,72.5,177,13,6.26,321.1953005,96,3526,22.6,15,98,3.55,98,0.5,2893.651356,6542547,0.682,12
Kenya,Developing,52.1,437,76,1.66,32.73674134,84,766,15.1,118,83,4.54,84,15.7,395.8493511,332149,0.451,8.5
Angola,Developing,49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131,0.488,9
Barbados,Developing,73.7,121,0,7.65,13.5139917,91,0,45.4,0,9,5.82,89,0.4,1228.5447,,0.753,14.2
Bhutan,Developing,67.9,228,1,0.28,244.0391949,91,21,2.3,1,92,5.17,91,0.5,2178.921383,727641,0,11.4
Dominican Republic,Developing,69.3,214,7,5.16,182.6162515,82,0,47.2,8,66,4.28,79,2.1,2421.9662,912998,0.666,12.5
Cambodia,Developing,64.1,216,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,539.8791529,13474489,0.483,10.1
Turkmenistan,Developing,64.5,235,6,2.4,34.23979419,96,0,42.7,8,96,1.93,96,0.1,394.467675,4935762,0,10.5
Uzbekistan,Developing,69.1,185,17,0.01,19.1624696,99,0,43,19,99,6.32,99,0.1,197.551233,32432,0.681,12
United Kingdom of Great Britain and Northern Ireland,Developed,79.3,82,4,11.61,0,,764,61.3,4,92,8.36,92,0.1,,,,
Uganda,Developing,51,53,109,10.16,4.426792406,44,29429,13.9,173,57,7.54,59,9.4,237.9995917,2662482,0.418,11.5
Niger,Developing,58.2,252,50,0.12,5.883760536,7,372,17.3,95,75,6.36,7,0.9,348.151511,16425578,0.312,4.5
Cuba,Developing,78.7,96,1,4.16,742.1961992,96,0,59.2,1,98,8.59,99,0.1,6425.941119,,0.778,15.7
Sri Lanka,Developing,74.7,141,3,2.37,42.7308283,99,1686,22.7,3,99,3.5,99,0.1,382.54994,2771,0.76,14
Finland,Developing,78.7,12,0,9.89,4508.806185,,0,57.6,0,96,8.21,98,0.1,37636.11173,5228172,0.869,18.3
Morocco,Developing,73.6,99,19,0.55,19.15853732,99,668,55.5,22,99,6.15,99,0.1,294.746728,33333789,0.623,11.6
Yemen,Developing,61.9,249,43,0.04,0,38,8536,32.7,58,61,5,61,0.1,,,0.457,8.2
Central African Republic,Developing,45.9,511,17,1.5,40.92207976,,471,18.2,26,47,4.29,54,11.2,327.1149461,412791,0.319,5.9
Benin,Developing,57.1,283,25,1.12,7.49281752,82,341,21.5,39,82,4.55,82,2,76.535419,8454791,0.438,8.9
Mexico,Developing,76.6,122,31,5.26,168.173753,84,3,62.8,36,87,6.3,87,0.1,1452.27766,1242216,0.754,13.1
Hungary,Developed,74.1,165,1,11.64,181.7634078,,0,6.5,1,99,7.33,99,0.1,15669.25929,138188,0.812,15.3
Cameroon,Developing,54.8,373,54,5.89,9.042540892,8,251,25.4,85,79,5.7,8,6.3,123.19538,19432541,0.473,9.2
Peru,Developing,75.3,125,8,5.38,946.6521165,88,0,54.2,11,71,5.23,88,0.1,6583.116248,3565716,0.731,13.4
Chile,Developing,77.9,1,2,6.37,584.0993429,,1,56.1,2,96,7.34,96,0.1,4787.699532,15799542,0.775,14
Belize,Developing,69.8,18,0,6.56,629.2018591,95,0,49.3,0,95,5.79,95,0.2,4688.538443,344181,0.706,12.9
Kyrgyzstan,Developing,66.6,225,4,2.13,0,44,16,35.6,5,99,4.68,99,0.1,,,0.586,11.4
Gambia,Developing,56.6,298,3,2.08,0,92,32,19.1,6,86,3.75,87,2.5,,,0.392,7
Tonga,Developing,72.2,151,0,1.8,423.2953509,9,0,68.6,0,91,4.87,9,0.1,2284.37858,146,0.693,14.6
Equatorial Guinea,Developing,57.9,32,3,0.01,13.40477417,2,13,24,4,24,3.8,2,4.4,192.59733,1129424,0.582,9.2
Kiribati,Developing,65,212,0,0.76,18.19457876,88,0,72.8,0,86,1.93,86,0.1,1151.555618,9426,0.576,12.1
Malta,Developed,83,62,0,7.91,278.0687051,75,0,67.6,0,76,8.3,76,0.1,2187.79469,41458,0.819,14.6
South Sudan,Developing,51.9,383,28,,0,,0,,44,,,,3.9,,818877,0,0
Jordan,Developing,71.7,133,4,0.49,227.296617,93,32,54,4,94,9.65,91,0.1,1657.889256,51313,0.7,12.6
Dominican Republic,Developing,73,22,7,6.32,293.0196601,79,0,46.1,8,65,5.53,79,2.3,2372.628827,896776,0.665,12.4
Brunei Darussalam,Developing,76.4,89,0,0.11,1504.30004,99,16,3.1,0,92,3.1,92,0.1,21896.6527,,0.828,13.7
Liberia,Developing,51.9,39,14,4.46,12.19709744,,5977,2.2,20,56,5.91,46,3.1,183.4149991,2884522,0.338,8.7
Guyana,Developing,66,217,0,7.64,4.141293345,98,0,45.9,1,97,5.25,98,0.3,43.82321,763393,0.636,10.3
Somalia,Developing,54.2,318,51,0.01,0,42,3173,23.3,81,47,,42,0.8,47.5432354,,,
Saudi Arabia,Developing,74.5,88,7,,0,98,219,68.2,8,97,,98,0.1,2732.86172,,0.845,16.1
Hungary,Developed,75.6,137,0,0.01,160.9449342,,0,64.2,0,99,7.4,99,0.1,14117.97668,9866468,0.834,15.8
Greece,Developing,81,72,0,,0,96,1,66.5,0,99,,99,0.1,187.78991,182883,0.865,17.2
